"","x_names","importance","RSimportance","rank","absrank","iter","rel_imp"
"5202","polyC1",-121.474995191445,-1,1,1,473,0.0856720265501288
"5230","naLongMax",-169.007385306634,-1,1,1,476,0.144181129810031
"5246","polyC1",-114.312927908986,-1,1,1,477,0.0628115713815181
"5257","polyC1",-91.2650877213022,-1,1,1,478,0.0638921911502887
"5279","polyC1",-146.357634808333,-1,1,1,480,0.10656784849854
"5290","polyC1",-140.935732348169,-1,1,1,481,0.114068008593963
"5301","polyC1",-71.2922580972175,-1,1,1,482,0.102824715215817
"5312","polyC1",-89.2253033465074,-1,1,1,483,0.0682928707020005
"5323","polyC1",-102.618815931409,-1,1,1,484,0.120640906703121
"5334","polyC1",-178.479942839739,-1,1,1,485,0.118854455858564
"5340","naLongMax",-77.4689138852826,-1,1,1,486,0.156442566148331
"5356","polyC1",-134.243440056556,-1,1,1,487,0.0858678582205078
"5387","phenoMean",-89.4950356330194,-1,1,1,490,0.0960748301923841
"5400","polyC1",-163.113100994851,-1,1,1,491,0.0949683430706433
"5422","polyC1",-116.783146276055,-1,1,1,493,0.107267346118712
"5433","polyC1",-162.717087325344,-1,1,1,494,0.125207251208978
"5455","polyC1",-130.00604952697,-1,1,1,496,0.0878013607824515
"5465","phenoRange",-106.309802416211,-1,1,1,497,0.141655995291161
"5521","polyC1",-127.904489917588,-1,1,1,502,0.0712502161553575
"5532","polyC1",-124.052085072711,-1,1,1,503,0.073722987512731
"5554","polyC1",-144.636214902343,-1,1,1,505,0.0891892113025364
"5571","naLongMax",-136.46051662626,-1,1,1,507,0.0786031231459173
"5582","naLongMax",-68.6686590123265,-1,1,1,508,0.0889043939788505
"5593","naLongMax",-67.9295614790037,-1,1,1,509,0.122529551343074
"5609","polyC1",-86.6127385957565,-1,1,1,510,0.0965606447347119
"5620","polyC1",-72.6822253496747,-1,1,1,511,0.113334906836756
"5631","polyC1",-134.704069660862,-1,1,1,512,0.0816446176248174
"5641","phenoRange",-104.85778709728,-1,1,1,513,0.084123518786698
"5659","naLongMax",-130.919037989507,-1,1,1,515,0.150394062445276
"5686","polyC1",-105.457766192321,-1,1,1,517,0.0843796620205609
"5719","polyC1",-117.327012720951,-1,1,1,520,0.0818725774895758
"5725","naLongMax",-96.9589068133933,-1,1,1,521,0.097666235471799
"5741","polyC1",-197.857728672773,-1,1,1,522,0.0994522674241989
"5763","polyC1",-71.0996406538103,-1,1,1,524,0.0530525515621536
"5780","naLongMax",-117.753095022028,-1,1,1,526,0.130284664297094
"5807","polyC1",-108.011497809102,-1,1,1,528,0.155681895659146
"5817","phenoRange",-103.807091885454,-1,1,1,529,0.152853067103593
"5840","polyC1",-94.2770380513688,-1,1,1,531,0.0632124669315822
"5868","naLongMax",-140.228207210238,-1,1,1,534,0.111592382880708
"5895","polyC1",-123.615321092697,-1,1,1,536,0.0738214944107971
"5911","naLatMin",-93.6173939193077,-1,1,1,538,0.124244753826233
"5928","polyC1",-117.889660241932,-1,1,1,539,0.114357654517909
"5934","naLongMax",-150.875070127585,-1,1,1,540,0.141895438287121
"5972","polyC1",-94.2413664398617,-1,1,1,543,0.0914677591543808
"5989","naLongMax",-91.0634509260596,-1,1,1,545,0.0961528919231201
"6005","polyC1",-213.275989280335,-1,1,1,546,0.147468075369895
"6016","polyC1",-97.9585749526127,-1,1,1,547,0.0499431673858813
"6038","polyC1",-162.076637233631,-1,1,1,549,0.140238504066086
"6071","polyC1",-150.791194087659,-1,1,1,552,0.128808153632404
"6077","naLongMax",-85.1217411399813,-1,1,1,553,0.138740902158478
"6093","polyC1",-145.526724377577,-1,1,1,554,0.0976543028488032
"6115","polyC1",-112.291217645001,-1,1,1,556,0.113293066322534
"6126","polyC1",-100.993189726361,-1,1,1,557,0.0983703408059588
"6132","naLongMax",-66.8252296609697,-1,1,1,558,0.103394875805385
"6148","polyC1",-150.94844682462,-1,1,1,559,0.0677582382978361
"6234","phenoMean",-138.372144761738,-1,1,1,567,0.0851491429162809
"6268","phenoRange",-66.1387842793285,-1,1,1,570,0.130162937305729
