"","x_names","importance","RSimportance","order","rel_imp"
"2639","phenoRange",-119.035370129944,-1,1,0.204244194941201
"2643","naLongMax",-49.7084887873428,-1,1,0.156922711455922
"2647","ITD",-69.1799932439887,-1,1,0.252909686280994
"2660","phenoRange",-116.913679832887,-1,1,0.216119203790519
"2661","ITD",-71.2629646916756,-1,1,0.255473288569136
"2674","phenoRange",-129.901526528772,-1,1,0.19264467022018
"2678","naLongMax",-46.2441627106618,-1,1,0.163053811065173
"2688","phenoRange",-91.9251206405575,-1,1,0.134601444411986
"2691","naLatMin",-77.052737532595,-1,1,0.166180665628494
"2702","phenoRange",-62.0737680819755,-1,1,0.111929700339111
"2707","naLongMin",-81.2252734639448,-1,1,0.208073559494111
"2713","naLongMax",-47.1738980122274,-1,1,0.174455674601382
"2725","naLatMax",-91.2856498607581,-1,1,0.123573861184069
"2732","naLatMax",-64.3907307218733,-1,1,0.185882689298774
"2744","phenoRange",-64.4071913340223,-1,1,0.103660568217989
"2747","naLatMin",-90.0539155935592,-1,1,0.222414884100165
"2755","naLongMax",-66.3285253832817,-1,1,0.226043262141375
"2772","phenoRange",-128.079690201712,-1,1,0.204959917668495
"2774","naLatMax",-58.7893578117352,-1,1,0.0971155158759864
"2788","naLatMax",-84.3676865765735,-1,1,0.121509259337764
"2795","naLatMax",-106.678078416366,-1,1,0.139985923901134
"2807","phenoRange",-55.2807590550995,-1,1,0.140448084106804
"2814","phenoRange",-92.5502692119721,-1,1,0.134067612860276
"2821","phenoRange",-123.80608679002,-1,1,0.218395448470769
"2823","naLatMax",-61.7904163026672,-1,1,0.114542256372584
"2835","phenoRange",-85.4709856712005,-1,1,0.150543084872638
"2836","ITD",-70.6949646561932,-1,1,0.255309071194803
"2849","phenoRange",-115.337797044449,-1,1,0.287047825346115
"2863","phenoRange",-85.4527553719492,-1,1,0.150507216386756
"2877","phenoRange",-74.998594289891,-1,1,0.126256728203846
"2880","naLatMin",-25.9813335303108,-1,1,0.106434972410719
"2891","phenoRange",-92.5364050727992,-1,1,0.134057074642078
"2898","phenoRange",-113.282334465861,-1,1,0.241185933105053
"2919","phenoRange",-75.5518978758525,-1,1,0.117558036160168
"2921","naLatMax",-107.245834485657,-1,1,0.157633687152435
"2933","phenoRange",-153.169394159119,-1,1,0.224882326526181
"2954","phenoRange",-72.3744151325623,-1,1,0.144548641795343
"2957","naLatMin",-36.7061897926443,-1,1,0.137126851392869
"2968","phenoRange",-119.007020506302,-1,1,0.225176910309396
"2975","phenoRange",-87.7973653287696,-1,1,0.15180275451657
"2979","naLongMax",-89.5032086601316,-1,1,0.120708139713597
"2983","ITD",-71.2577218060423,-1,1,0.25549206306729
"2997","ITD",-69.9300186550765,-1,1,0.255693273045629
"3007","naLongMax",-88.2446159037918,-1,1,0.187466184017665
"3014","naLongMax",-47.5284044096293,-1,1,0.183331216404416
"3024","phenoRange",-97.8493443983229,-1,1,0.145155394695234
"3038","phenoRange",-120.956009229771,-1,1,0.192503067455173
"3045","phenoRange",-79.5717093579754,-1,1,0.146703382831263
"3052","phenoRange",-75.4290560341335,-1,1,0.249760175696338
"3059","phenoRange",-96.3883829312792,-1,1,0.137489052354253
"3066","phenoRange",-105.129802888733,-1,1,0.189750405388008
"3073","phenoRange",-140.343121649999,-1,1,0.22096788430368
"3077","naLongMax",-53.0597233025143,-1,1,0.163431271113456
"3087","phenoRange",-66.4084799349031,-1,1,0.146738953707997
"3094","phenoRange",-117.09046718535,-1,1,0.20310922545248
"3101","phenoRange",-114.516285684158,-1,1,0.156506476069242
"3105","naLongMax",-49.7955888454334,-1,1,0.13728265073302
"3113","naLongMin",-52.9604752614705,-1,1,0.0837073234338478
"3124","naLatMax",-106.169044944477,-1,1,0.162183285423431
"3136","phenoRange",-75.9288343468155,-1,1,0.154038255103587
"3143","phenoRange",-92.6613986256038,-1,1,0.188362286162954
"3150","phenoRange",-106.572725176447,-1,1,0.204849058223992
"3154","naLongMax",-51.5336512097447,-1,1,0.145422219677593
"3164","phenoRange",-107.901277747565,-1,1,0.115806247598443
"3165","ITD",-69.1802677114381,-1,1,0.252887083851919
"3173","naLatMax",-109.692066367874,-1,1,0.16239873023857
"3192","phenoRange",-106.12986464224,-1,1,0.2171428514446
"3196","naLongMax",-85.7320030458844,-1,1,0.154828838930264
"3206","phenoRange",-117.24432702933,-1,1,0.204137871642176
"3213","phenoRange",-86.3930390444828,-1,1,0.12487532816007
"3215","naLatMax",-70.5714054793681,-1,1,0.16409599246016
"3227","phenoRange",-137.690855132094,-1,1,0.174143544596287
"3229","naLatMax",-98.10666484986,-1,1,0.161198741033776
"3248","phenoRange",-87.6407503176656,-1,1,0.15145489634828
"3249","ITD",-52.4016879316542,-1,1,0.140769096717434
"3274","naLongMin",-95.81894514049,-1,1,0.120162438296851
"3287","naLongMax",-40.7626448899482,-1,1,0.245748644657625
"3297","phenoRange",-72.3732848532812,-1,1,0.144545142766948
"3311","phenoRange",-70.3509328457313,-1,1,0.141704980861556
"3318","phenoRange",-77.3020187461908,-1,1,0.197049430819344
"3325","phenoRange",-140.361312675698,-1,1,0.220953975446664
"3346","phenoRange",-98.9117145331235,-1,1,0.181709696137616
"3360","phenoRange",-79.0927424574855,-1,1,0.153842580294623
"3374","phenoRange",-158.735895675932,-1,1,0.213496924533084
"3377","naLatMin",-65.8920917815368,-1,1,0.183842693342375
"3388","phenoRange",-62.5791539738577,-1,1,0.303541577120132
"3392","naLongMax",-49.2859562738572,-1,1,0.146467145721528
"3402","phenoRange",-134.221021717272,-1,1,0.206907053756437
"3409","phenoRange",-56.6303161797391,-1,1,0.32055116751512
"3423","phenoRange",-116.563766021841,-1,1,0.215205029751573
"3435","naLongMin",-48.1271699881065,-1,1,0.0883091153593604
"3440","naLatMin",-86.8485659153878,-1,1,0.198753547665626
"3452","ITD",-66.0409759657896,-1,1,0.25413944751578
"3479","phenoRange",-87.05273132305,-1,1,0.183450905811005
"3486","phenoRange",-138.165285552873,-1,1,0.23184313130195
"3500","phenoRange",-87.7696709763428,-1,1,0.244641546721052
"3514","phenoRange",-126.949194046159,-1,1,0.221212161992892
"3535","phenoRange",-100.225247602099,-1,1,0.23229173183221
"3542","phenoRange",-114.50470216255,-1,1,0.156505191457286
"3545","naLatMin",-100.550527662537,-1,1,0.206888213121423
"3552","naLatMin",-67.1211304707964,-1,1,0.158790384036318
"3577","phenoRange",-81.1720050055154,-1,1,0.323736670437541
"3579","naLatMax",-82.8908543208857,-1,1,0.174620878344177
"3594","naLatMin",-88.1221823507034,-1,1,0.170385456525361
"3599","ITD",-66.052306171782,-1,1,0.254098955744083
"3630","naLongMax",-71.5893305870825,-1,1,0.209676245525317
"3636","naLatMin",-68.7005284633002,-1,1,0.309831365248826
"3647","phenoRange",-82.0389761944648,-1,1,0.225444438894178
"3654","phenoRange",-83.8284117888915,-1,1,0.187965498526104
"3661","phenoRange",-63.4359237346248,-1,1,0.250083972420545
"3664","naLatMin",-96.8572824888341,-1,1,0.17349360805032
"3670","naLatMax",-98.1836346028294,-1,1,0.124592968388985
"3682","phenoRange",-87.6630706257091,-1,1,0.151433433289063
"3686","naLongMax",-101.309483904717,-1,1,0.127018504940307
"3696","phenoRange",-97.1684201462541,-1,1,0.197237342608425
"3700","naLongMax",-88.2179083001548,-1,1,0.175358567386775
"3710","phenoRange",-71.3746416091674,-1,1,0.127072067768491
"3713","naLatMin",-99.2481970464557,-1,1,0.207513401282729
"3724","phenoRange",-153.134085620012,-1,1,0.200489744938131
"3726","naLatMax",-97.6868373480699,-1,1,0.123801200765443
"3738","phenoRange",-105.998231829586,-1,1,0.193610944456991
"3741","naLatMin",-88.1248869477505,-1,1,0.170395103496402
"3750","naLongMin",-96.5970245553287,-1,1,0.196766397462543
"3766","phenoRange",-104.163405960444,-1,1,0.136429199362578
"3773","phenoRange",-110.613982038295,-1,1,0.205069310444859
"3780","phenoRange",-147.648180574568,-1,1,0.249845858650653
"3782","naLatMax",-66.353593098584,-1,1,0.16353680716882
"3808","phenoRange",-65.8714125602869,-1,1,0.217179224885775
"3815","phenoRange",-97.137266087623,-1,1,0.177552261817943
"3820","naLongMin",-88.0052902635458,-1,1,0.108923780310877
"3827","naLongMin",-124.979015370665,-1,1,0.20435271437591
"3833","naLongMax",-66.0043164112464,-1,1,0.176287347597547
"3843","phenoRange",-79.0943226823204,-1,1,0.153872767375832
"3854","naLongMax",-80.353265489888,-1,1,0.241846688102026
"3861","naLongMax",-49.2646125260159,-1,1,0.143477946544137
"3871","phenoRange",-95.9474628211556,-1,1,0.164046584381937
"3878","phenoRange",-93.9598942986158,-1,1,0.219807124432823
"3885","phenoRange",-92.5323662699995,-1,1,0.188611606166783
"3892","phenoRange",-96.7447774849595,-1,1,0.216663279320682
"3899","phenoRange",-137.935429956623,-1,1,0.2234151529388
"3906","phenoRange",-139.578475675433,-1,1,0.181744037076393
"3907","ITD",-69.9315478635809,-1,1,0.25567131992631
"3934","phenoRange",-145.250364568852,-1,1,0.15213537058139
"3941","phenoRange",-86.4429713432246,-1,1,0.124318416722714
"3955","phenoRange",-118.398190402068,-1,1,0.203564529664903
"3962","phenoRange",-108.772570500092,-1,1,0.257320998508711
"3964","naLatMax",-86.5984948266332,-1,1,0.152957482656774
